id,cfu,parte,categoria,front,back,topics,source
11,both,1,Ricerca: problemi e strategie cieche,DFS — ricerca in profondità,"Frontiera = pila LIFO: scende fino in fondo prima di tornare indietro.
Memoria LINEARE O(b·m): è il suo vantaggio su BFS.
NON completa in spazi infiniti o con cicli (tree-search); non ottima. Tempo O(b^m).",dfs|memoria,sisint1
12,both,1,Ricerca: problemi e strategie cieche,IDS / IDDFS,"DFS ripetuta con limite di profondità CRESCENTE (0,1,2,...).
Combina i vantaggi di BFS (completezza, ottimalità a costi unitari) e DFS (memoria lineare).
Completa per spazi con branching finito; rigenerare i livelli costa poco perché il livello più profondo domina.",ids|iddfs,sisint1
13,both,1,Ricerca: problemi e strategie cieche,Uniform Cost Search,"Espande il nodo con costo di cammino g(n) MINIMO (coda con priorità).
Completa e ottima con costi d'arco maggiori di una soglia positiva.
Equivale ad A* con h=0; è la generalizzazione della BFS a costi non unitari.",uniform_cost,sisint1
14,both,1,Ricerca: problemi e strategie cieche,Tree-search vs graph-search,"GRAPH-SEARCH mantiene l'insieme degli stati già visitati e NON riespande gli stati ripetuti.
TREE-SEARCH non ricorda nulla: può rivisitare stati e ciclare.
Conseguenza per A*: l'ottimalità in graph-search richiede euristica CONSISTENTE, non solo ammissibile.",ricerca_grafo,aima_ch3
15,both,1,Ricerca: problemi e strategie cieche,Strategie a confronto (strutture dati e proprietà),"BFS = coda FIFO; completa, ottima a costi unitari.
DFS = pila LIFO; memoria lineare ma non completa in spazi infiniti.
UCS = coda con priorità sul costo g.
IDS = DFS con limite di profondità incrementale; combina i vantaggi di BFS e DFS.
A* = ricerca informata con f = g + h.",strategie_ricerca|blind_search_match,sisint1
16,both,1,Ricerca informata ed euristiche,A*,"Espande il nodo che minimizza f(n) = g(n) + h(n) (costo speso + stima del restante).
Con h AMMISSIBILE è ottimo in tree-search; con h CONSISTENTE è ottimo anche in graph-search. Ottimamente efficiente a parità di euristica.
Limite pratico: memoria (mantiene l'intera frontiera).
Trappola NON SEMPRE: 'A* è ottimo' dipende dalle ipotesi sull'euristica.",astar,sisint1
17,both,1,Ricerca informata ed euristiche,Greedy best-first,"Espande il nodo con h(n) MINIMA: ignora completamente il costo già speso g.
Né completa né ottima in generale (può infilarsi in vicoli ciechi); spesso veloce in pratica.",greedy,sisint1
18,both,1,Ricerca informata ed euristiche,RBFS,"Best-first RICORSIVO: tiene in memoria solo il cammino corrente più il miglior f alternativo (backtracking ricorsivo).
Vantaggio su A*: memoria LINEARE nella profondità. Costo: rivisita nodi già generati.",rbfs,sisint1
19,both,1,Ricerca informata ed euristiche,Euristica ammissibile,"h(n) <= h*(n) per ogni nodo: non SOVRASTIMA mai il costo reale verso il goal ('ottimista').
Garantisce l'ottimalità di A* in tree-search.
Trappole: la disuguaglianza triangolare definisce la CONSISTENZA; 'assumere valori maggiori di un'altra euristica' è la DOMINANZA.",ammissibile,sisint1
20,both,1,Ricerca informata ed euristiche,Euristica consistente (monotona),"h(n) <= c(n,n') + h(n') per ogni arco: disuguaglianza triangolare.
Consistente IMPLICA ammissibile (non viceversa). Lungo un cammino f non decresce mai.
Serve per l'ottimalità di A* in GRAPH-search.",consistente,sisint1
21,both,1,Ricerca informata ed euristiche,Dominanza e combinazione di euristiche,"h2 DOMINA h1 se h2(n) >= h1(n) per ogni n (entrambe ammissibili): stima più stretta, quindi A* con h2 non espande più nodi che con h1.
max(h1,h2) di due ammissibili è ancora ammissibile e DOMINA entrambe: tecnica standard per combinare euristiche.",dominante|euristica|combine_h,sisint1
22,both,1,Ricerca informata ed euristiche,Euristiche dell'8-puzzle,"h1 = numero di tessere FUORI POSTO: ammissibile (ogni tessera fuori posto richiede almeno una mossa), ma non dominante.
h2 = distanza di MANHATTAN (somma delle distanze di ogni tessera dalla sua casella): ammissibile e DOMINA h1.
Un'euristica come 'costo medio osservato x 10' può sovrastimare: NON ammissibile.",manhattan|euristica_es|heur_property,aima_ch3
23,both,1,Ricerca informata ed euristiche,Progettare euristiche: problema rilassato,"Rimuovi vincoli dal problema (problema RILASSATO) e risolvilo esattamente: il costo ottimo del rilassato è un'euristica AMMISSIBILE per il problema originale (il rilassato non costa mai di più).
8-puzzle: 'le tessere si teletrasportano' -> tessere fuori posto; 'si muovono anche su caselle occupate' -> Manhattan.",heuristic_design,aima_ch3
24,both,1,Giochi,Classificazione dei giochi e funzione di valutazione,"Assi: DETERMINISTICO vs STOCASTICO (c'è il caso? backgammon sì) e informazione COMPLETA vs INCOMPLETA (vedi tutto lo stato? poker no).
Scacchi: deterministici, informazione completa. Backgammon: stocastico, informazione completa. Poker: stocastico, informazione incompleta.
SOMMA ZERO: il guadagno di un giocatore è la perdita dell'altro.
FUNZIONE DI VALUTAZIONE: stima l'utilità di uno stato NON terminale quando il taglio in profondità impedisce di raggiungere le foglie.",gioco_tipo|giochi_completi|giochi_incompleti|giochi_stoc|giochi,sisint1
25,both,1,Giochi,Minimax,"Per giochi deterministici, 2 giocatori, somma zero: MAX massimizza, MIN minimizza; i valori risalgono dai nodi terminali.
Assume avversario OTTIMO (gioca la mossa peggiore per noi); contro un avversario subottimale si ottiene almeno lo stesso valore.
Esplorazione in profondità: tempo O(b^m).",minimax|minimax_assunzione|minimax_facts,sisint1
26,both,1,Giochi,Potatura alfa-beta,"Salta i rami che non possono cambiare la decisione (alfa = miglior valore per MAX, beta = miglior valore per MIN trovati finora).
NON cambia il risultato: stesso valore di minimax con meno nodi esplorati.
Con ordinamento OTTIMO delle mosse: O(b^(m/2)), cioè profondità esplorabile raddoppiata.",alfa_beta,sisint1
27,9,1,Giochi,Expectiminimax,"Estende minimax ai giochi STOCASTICI: 4 tipi di nodi: MAX, MIN, CASUALI (chance), TERMINALI.
Valore di un nodo casuale = MEDIA PESATA per probabilità dei valori dei figli.
Prerequisito: conoscere le distribuzioni di probabilità degli eventi casuali (es. 1/36 per ogni coppia di dadi).
Complessità O(b^m · n^m) con n esiti casuali; alfa-beta applicabile solo in forma limitata (servono bound sulle utilità).
Trappola: NON esistono 'nodi goal' negli alberi di gioco (sono del problem solving).",expectiminimax|expectiminimax_tree|nodi_casuali|expectiminimax_alfabeta|expectiminimax_compl,sisint1
28,both,1,CSP,CSP: definizione e soluzione,"CSP = (VARIABILI, DOMINI, VINCOLI).
Soluzione = assegnamento COMPLETO (tutte le variabili) e CONSISTENTE (nessun vincolo violato).
Trappola: la soluzione è un ASSEGNAMENTO, non un cammino.
Esempio classico: colorazione di una mappa con k colori.",csp|csp_soluzione|csp_es,sisint1
29,both,1,CSP,N regine come CSP,"Variabili = le N regine, una per colonna; dominio = {1..N} (la riga di ciascuna).
Vincoli BINARI fra ogni coppia: non stessa riga, non stessa diagonale.
Si risolve con backtracking + propagazione o con ricerca locale (min-conflicts).
Trappola: la soluzione è l'assegnamento finale, non una sequenza di mosse.",nqueen|csp_struttura,sisint1
30,both,1,CSP,"Backtracking, backjumping, forward checking","BACKTRACKING: assegna una variabile alla volta; al conflitto torna alla variabile più RECENTE.
BACKJUMPING: salta direttamente alla variabile più recente RESPONSABILE del conflitto (conflict set), evitando backtrack inutili.
FORWARD CHECKING: dopo ogni assegnamento elimina dai domini delle variabili collegate i valori incompatibili; fallisce appena un dominio si svuota.",backtracking|backjumping|forward_checking|csp_techniques,sisint1
31,both,1,CSP,AC-3 e k-consistency,"ARC CONSISTENCY (= 2-consistency): per ogni valore di X esiste almeno un valore compatibile in Y, per ogni arco (X,Y). AC-3 la stabilisce propagando le revisioni dei domini.
Garantisce la consistenza d'arco, NON l'esistenza della soluzione.
K-CONSISTENCY: ogni assegnamento consistente di k-1 variabili è estendibile consistentemente a una k-esima variabile.",ac3|kconsistency,sisint1
32,both,2,Logica proposizionale,"KB, interrogazione, rappresentazione della conoscenza","KB (base di conoscenza) = insieme di formule (fatti + regole) che rappresentano ciò che l'agente sa del mondo.
INTERROGARE (ASK) = chiedere se una formula alfa è conseguenza logica della KB: vale KB |= alfa?
La rappresentazione della conoscenza codifica il mondo in forma DICHIARATIVA su cui un motore generale può fare inferenza.",kb|query|kr_intro,sisint1
33,both,2,Logica proposizionale,Modello e conseguenza logica,"MODELLO (interpretazione) = assegnamento di un valore di verità a OGNI simbolo proposizionale; m è modello di alfa se alfa è vera in m.
KB |= alfa sse alfa è vera in TUTTI i modelli in cui la KB è vera.
Trappola: il modello è un assegnamento, non 'una formula sempre vera' (quella è una tautologia).",logica_intro,sisint1
34,both,2,Logica proposizionale,"Formula atomica, letterale, clausola","Formula ATOMICA: un simbolo proposizionale (in FOL: un predicato applicato a termini).
LETTERALE: formula atomica o sua negazione (P, non P).
CLAUSOLA: DISGIUNZIONE di letterali (A or non B or C).",prop_sintassi|letterale|clausola,sisint1
35,both,2,Logica proposizionale,"Tautologia, soddisfacibile, contraddizione, consistenza","VALIDA / TAUTOLOGIA: vera in OGNI interpretazione (P or non P: terzo escluso).
SODDISFACIBILE: vera in ALMENO una interpretazione.
CONTRADDIZIONE / insoddisfacibile: vera in NESSUNA interpretazione (P and non P).
KB CONSISTENTE: ha almeno un modello.
Legame: alfa è valida se e solo se (non alfa) è insoddisfacibile.",tautologia|validita|soddisfacibile|contraddizione|coerenza|prop_assertions,sisint1
36,both,2,Logica proposizionale,Implicazione ed equivalenza,"A => B è semanticamente equivalente a (non A) or B: è falsa SOLO quando A è vera e B falsa. Antecedente falso -> implicazione vera.
A <=> B equivale a (A => B) and (B => A).",implicazione|equivalenza,sisint1
37,both,2,Logica proposizionale,CNF — forma normale congiuntiva,"CONGIUNZIONE di clausole: AND di OR di letterali.
Ogni formula proposizionale è convertibile in una CNF equivalente.
È il formato richiesto dalla risoluzione.",cnf,sisint1
38,both,2,Logica proposizionale,Clausola di Horn,"Clausola con AL PIÙ un letterale POSITIVO.
DEFINITA = esattamente UN positivo: è un fatto o una regola ((non A) or (non B) or C equivale a (A and B) => C). Goal clause = zero positivi.
Esempi: (non A) or (non B) or C -> Horn; A or B or (non C) -> NON Horn (due positivi).
Importanza: su KB Horn, forward/backward chaining sono COMPLETI e lineari.
Trappola: 'al più uno' = Horn in generale; 'esattamente uno' = Horn definita.",clausola_horn|horn_es|horn_cnf|horn_use,sisint1
39,both,2,Logica proposizionale,Correttezza vs completezza dell'inferenza,"CORRETTO (sound): se KB |- alfa allora KB |= alfa: deriva SOLO conseguenze logiche.
COMPLETO: se KB |= alfa allora KB |- alfa: deriva TUTTE le conseguenze logiche (per qualsiasi KB).
Terminare sempre = DECIDIBILITÀ, proprietà diversa.
Trappola d'esame classica: le due definizioni vengono scambiate.",inferenza_completa,sisint1
40,both,2,Inferenza e risoluzione,Modus ponens,"Da A e A => B deduci B. Regola corretta (sound).
GENERALIZZATO (FOL): la regola (A1 and ... and An) => B scatta se esiste UNA sostituzione che unifica TUTTI gli antecedenti con fatti noti.
Trappola: se manca anche un solo fatto (es. Gamma(COST)), il MP non è applicabile.",modus_ponens,sisint1
41,both,2,Inferenza e risoluzione,Forward e backward chaining,"FORWARD (data-driven): parte dai FATTI, applica le regole con tutti gli antecedenti soddisfatti, aggiunge le conclusioni, ripete. Si ferma quando deriva il goal o non deriva più nulla.
BACKWARD (goal-driven): parte dal GOAL, cerca regole che lo concludono e ne riduce gli antecedenti a sottogoal, fino ai fatti.
Entrambi lavorano su clausole di Horn definite; completi su KB Horn.",forward_chain|backward_chain,sisint1
42,both,2,Inferenza e risoluzione,Risoluzione,"Regola: da (alfa or L) e (beta or non L) deriva il RISOLVENTE (alfa or beta).
Applicabile SOLO se le due clausole contengono letterali COMPLEMENTARI (P e non P); richiede la KB in clausole (CNF).
{P,Q} e {non P,R} -> risolvente {Q,R}. {P} e {Q,R} -> NON applicabile (nessun letterale complementare).
Proprietà: sound e refutation-complete.",risoluzione|resolution_steps|resolution_letterali,sisint1
43,both,2,Inferenza e risoluzione,Dimostrazione per refutazione,"Per dimostrare KB |= alfa: (1) converti la KB in CNF, (2) aggiungi il goal NEGATO (non alfa), (3) applica la risoluzione fino a derivare la CLAUSOLA VUOTA (contraddizione).
Clausola vuota derivata -> KB and (non alfa) insoddisfacibile -> KB |= alfa.
La risoluzione (con fattorizzazione, in FOL) è REFUTATION-COMPLETE: se l'insieme è insoddisfacibile, la clausola vuota è sempre derivabile.",refutation|refutation_steps|refutation_complete,risol_FOL
44,both,2,Logica del prim'ordine,"FOL: predicati, funzioni, termini","La FOL estende la proposizionale con oggetti, relazioni e quantificatori.
PREDICATO: relazione vera o falsa su tuple di oggetti (Cane(Fuffi)).
FUNZIONE: mappa oggetti in oggetti, DENOTA un oggetto (PadreDi(x)); non ha valore di verità.
TERMINI: costanti, variabili, funzioni applicate a termini.",fol_intro|fol_predicato|fol_funzione,sisint1
45,both,2,Logica del prim'ordine,Quantificatori,"PER OGNI x P(x): P vale per ogni oggetto del dominio; si usa tipicamente con =>: per ogni x (Cane(x) => Animale(x)) = 'ogni cane è un animale'.
ESISTE x P(x): vale per almeno un oggetto; tipicamente con AND.
Validità: per ogni x (P(x) or non P(x)) è VALIDA; esiste x (P(x) and non P(x)) è INSODDISFACIBILE.
Trappola: 'per ogni' con AND ed 'esiste' con => sono quasi sempre formalizzazioni sbagliate.",fol_quant|fol_es|fol_quant_use,sisint1
46,both,2,Logica del prim'ordine,Ground: termini e formule,"GROUND = privo di variabili.
F(K) (funzione applicata a una costante) è un TERMINE ground. P(F(K)) è una FORMULA ATOMICA ground: NON è un termine!
Classificazione d'esame (scegli la categoria PIÙ SPECIFICA): tautologia / formula ground / clausola / formula FOL generica.
Esempi: Cane(Fuffi) => non Gatto(Fuffi) -> ground; non Piove or Piove -> tautologia; A or non B or C -> clausola; Blu(x) or Sopra(x,y) and non Sopra(x,z) -> formula FOL.",ground|formule_tipo,sisint1
47,both,2,Logica del prim'ordine,Unificazione e MGU,"UNIFICATORE: sostituzione theta che rende sintatticamente IDENTICHE due espressioni atomiche.
MGU (Most General Unifier): l'unificatore più generale, quello che impone meno vincoli; ogni altro unificatore ne è un'istanza.
Esempio: P(x) e P(F(K)) unificano con theta = {x/F(K)}.",unificazione,sisint1
48,both,2,Logica del prim'ordine,Skolemizzazione,"Elimina i quantificatori ESISTENZIALI (passo della conversione in CNF).
'Esiste' fuori dallo scope di ogni 'per ogni' -> COSTANTE di Skolem.
'Esiste' nello scope di 'per ogni' -> FUNZIONE di Skolem delle variabili universali: per ogni x esiste y Ama(x,y) -> Ama(x, F(x)).
Preserva la SODDISFACIBILITÀ, non l'equivalenza logica.",skolem|fol_skolem_es,sisint1
49,both,2,Logica del prim'ordine,Lifting e inferenza in FOL,"LIFTING: solleva le regole proposizionali (modus ponens, risoluzione) al prim'ordine sostituendo il confronto esatto fra simboli con l'UNIFICAZIONE.
Esempio d'esame: da (non Alfa(x)) or Beta(x) or (non Gamma(x)) e Alfa(COST): la RISOLUZIONE è applicabile (theta={x/COST}, risolvente Beta(COST) or non Gamma(COST)); il FORWARD CHAINING no, perché alla regola (Alfa and Gamma) => Beta manca il fatto Gamma(COST).",lifting|inferenza_FOL,sisint1
50,both,2,Planning e situation calculus,Planning e PDDL,"PLANNING: trovare automaticamente una SEQUENZA DI AZIONI che porta dallo stato iniziale a uno stato goal.
PDDL (Planning Domain Definition Language): linguaggio standard per descrivere dominio e problema; ogni azione ha PRECONDIZIONI ed EFFETTI.",planning_intro|pddl,sisint1
51,both,2,Planning e situation calculus,Situation calculus: fluenti e assiomi,"FLUENTE: proprietà o relazione che CAMBIA con la situazione (On(A,B,s)); la situazione è un argomento esplicito.
Assioma di APPLICABILITÀ: precondizioni perché l'azione sia eseguibile nella situazione s.
Assioma di EFFETTO: che cosa diventa vero dopo l'azione.
Assioma di FRAME: che cosa NON cambia eseguendo l'azione.
FRAME PROBLEM: esplosione del numero di assiomi frame necessari; si mitiga con gli assiomi di stato-successore.
Trappola: 'assioma di minimo regret' e 'assioma di congruenza' NON esistono nel situation calculus.",situation_calc|assioma_eff|assioma_appl|frame_axiom|frame_problem|planning_facts,sisint1
52,both,2,Planning e situation calculus,Anomalia di Sussman,"Esempio (tre blocchi) in cui perseguire un sottogoal DISFA un sottogoal già raggiunto: i sottogoal NON sono indipendenti.
Conseguenza: la pianificazione non è sempre lineare; servono pianificatori capaci di intrecciare i piani dei sottogoal (interleaving).",sussman,sisint1
53,both,2,Ontologie e KR,"Tassonomia, ereditarietà, ontologia","TASSONOMIA: organizzazione GERARCHICA di categorie tramite relazioni IS-A.
EREDITARIETÀ: le sottoclassi ereditano le proprietà delle sovraclassi (gli Uccelli volano -> l'Aquila vola), salvo eccezioni esplicite.
ONTOLOGIA: insieme di CONCETTI e RELAZIONI di un dominio (una rete semantica): più ricca di una semplice gerarchia.",tassonomia|ereditarieta|ontologia|ont_descr,sisint1
54,both,2,Ontologie e KR,IS-A vs MEMBER,"IS-A(C1,C2): C1 è SOTTOCLASSE di C2: relazione fra CATEGORIE, transitiva ('il Dalmata è un tipo di Cane').
MEMBER(P,C): P è ISTANZA della categoria C: individuo vs classe ('Pongo è un Dalmata').
Trappola d'esame: distinguere istanza-classe (member) da classe-classe (is-a).",is_a|member|categorie_pred|is_a_member,ontologie
55,9,2,Ontologie e KR,Part-of e bunch-of,"PART-OF(x,y): x è parte di y; relazione TRANSITIVA (dito parte della mano, mano parte del braccio -> dito parte del braccio).
BUNCH-OF({a,b,c}): l'oggetto COMPOSTO che ha come parti a, b e c, SENZA specificare le relazioni fra le parti.",part_of|bunch_of,sisint1
56,9,2,Ontologie e KR,"Disjoint, decomposizione esaustiva, partizione","DISJOINT(S): le categorie di S sono a coppie DISGIUNTE (nessuna istanza in comune).
EXHAUSTIVEDEC(S,C): decomposizione ESAUSTIVA: ogni istanza di C appartiene ad ALMENO una categoria di S (possono sovrapporsi!).
PARTITION(S,C) = Disjoint + ExhaustiveDec: disgiunte E coprono C.
Trappola: 'esaustiva' NON implica disgiunzione; la partizione richiede entrambe.",disjoint|exhaustive|partition|ontologia_partition,sisint1
57,both,2,Ontologie e KR,"RDF, OWL, Semantic Web","RDF: conoscenza espressa come STATEMENT/TRIPLE soggetto-predicato-oggetto.
OWL: linguaggio W3C per ontologie del semantic web; descrive l'ontologia con tre tipi di elementi: ENTITÀ (riferimenti a oggetti del mondo reale), ASSIOMI (statement di base), ESPRESSIONI (combinazioni di entità).
SEMANTIC WEB: estensione del WWW in cui i contenuti sono arricchiti da METADATI che abilitano interpretazione automatica, inferenza e interrogazione.
Interrogazione tipica di un'ontologia: un'istanza appartiene a una categoria? gode di una certa proprietà?",rdf|owl|semantic_web|interrogare_ontologia,sisint1
58,9,2,Ontologie e KR,Allineamento di ontologie,"EQUIVALENTI: condividono vocabolario e assiomatizzazione, anche se espresse in linguaggi diversi.
ESTENSIONI: O2 preserva tutti i simboli di O1 (con proprietà e relazioni) ma non viceversa: O2 estende O1.
STRONGLY-TRANSLATABLE (O_source in O_dest): vocabolario totalmente mappabile, assiomatizzazione resta valida, SENZA perdita di informazione né inconsistenze.
WEAKLY-TRANSLATABLE: traduzione possibile ma CON perdita di informazione.",allineamento|allineamento_match,sisint1
59,9,2,Probabilità e reti bayesiane,Spazio campionario e assiomi della probabilità,"Spazio campionario Omega: insieme degli ESITI ELEMENTARI, mutuamente ESCLUSIVI ed ESAUSTIVI (se ne verifica esattamente uno).
Funzione di probabilità: ogni esito ha 0 <= P <= 1; la somma su tutti gli esiti è 1; P(evento) = somma delle probabilità dei suoi esiti.
Trappola: gli esiti NON devono essere equiprobabili né 'indipendenti': le proprietà richieste sono mutua esclusività ed esaustività.",spazio_campionario|prob_assiomi,sisint1
60,9,2,Probabilità e reti bayesiane,Variabile aleatoria,"Funzione che associa a ogni esito dello spazio campionario un VALORE di un dominio (booleano, discreto, continuo), con una distribuzione di probabilità associata.
Esempi: Dado con valori {1..6}; Pioggia con valori {vero, falso}.",variabile_aleatoria|aima_prob,sisint1
61,9,2,Probabilità e reti bayesiane,"Probabilità condizionata, regola del prodotto, priori/posteriori","P(A|B) = P(A and B) / P(B), con P(B) > 0.
REGOLA DEL PRODOTTO: P(A and B) = P(A|B) · P(B).
A PRIORI: probabilità prima di osservare evidenza. A POSTERIORI: aggiornata dopo l'evidenza (probabilità condizionata sull'evidenza).",prob_cond|regola_prodotto|priori_posteriori,sisint1
62,9,2,Probabilità e reti bayesiane,Indipendenza e indipendenza condizionata,"X e Y INDIPENDENTI sse P(X,Y) = P(X)·P(Y) (equivalente: P(X|Y) = P(X)).
X e Y CONDIZIONATAMENTE indipendenti dato Z sse P(X,Y|Z) = P(X|Z)·P(Y|Z).
L'indipendenza condizionata è ciò che rende compatte le reti bayesiane.",indipendenza|cond_indep,sisint1
63,9,2,Probabilità e reti bayesiane,Teorema di Bayes,"P(A|B) = P(B|A) · P(A) / P(B).
INVERTE il condizionamento: dalla verosimiglianza P(effetto|causa) e dal prior P(causa) si ottiene P(causa|effetto).
Base della diagnosi e della classificazione bayesiana.",prob_bayes,sisint1
64,9,2,Probabilità e reti bayesiane,Distribuzione congiunta completa,"Assegna una probabilità a OGNI combinazione di valori delle n variabili: con n variabili booleane, 2^n celle (2^n - 1 parametri liberi).
Crescita ESPONENZIALE: è il motivo per cui si usano le reti bayesiane (sfruttano le indipendenze condizionate).",prob_completa,sisint1
65,9,2,Probabilità e reti bayesiane,Rete bayesiana e CPT,"DAG: nodi = variabili aleatorie, archi = influenze dirette (genitore -> figlio).
Ogni nodo ha una CPT (Conditional Probability Table): P(nodo | genitori).
COMPATTEZZA: con n nodi binari e al più k genitori ciascuno: al più n·2^k parametri, contro i 2^n della congiunta completa.",bayes_net|cpt|bayes_compatta|bayes_num,sisint1
66,9,2,Probabilità e reti bayesiane,Semantica globale e locale di una rete bayesiana,"GLOBALE: la congiunta completa si FATTORIZZA sulla struttura della rete: P(x1,...,xn) = prodotto su i di P(xi | genitori(Xi)) (chain rule).
LOCALE: ogni nodo è condizionatamente indipendente dai suoi NON-DISCENDENTI dati i suoi genitori.
Le due semantiche sono equivalenti.",semantica_globale|semantica_locale|bayes_chain|bayes_facts,sisint1
67,9,2,Probabilità e reti bayesiane,Markov blanket,"Coperta di Markov di un nodo X: i suoi GENITORI + i suoi FIGLI + i GENITORI DEI FIGLI.
Data la coperta, X è condizionatamente INDIPENDENTE da tutto il resto della rete.",markov_blanket,sisint1
68,9,2,Probabilità e reti bayesiane,Naive Bayes,"Classificatore bayesiano che assume gli attributi CONDIZIONATAMENTE INDIPENDENTI data la classe: 'ingenuo' perché l'assunzione è spesso falsa, ma in pratica funziona.
P(C|x1..xn) proporzionale a P(C) · prodotto su i di P(xi|C).
Struttura: la classe è genitore di tutti gli attributi.",bayes_ingenuo,sisint1
69,both,3,Apprendimento: basi e valutazione,Agente che apprende,"Quattro componenti: elemento di ESECUZIONE (sceglie le azioni), elemento di APPRENDIMENTO (migliora il comportamento), modulo CRITICO (valuta le prestazioni rispetto a uno standard e fornisce feedback), GENERATORE DI PROBLEMI (propone esperienze esplorative).",agente_apprende,sisint1
