group_id,item_id,cfu,parte,topic,group_text,labels,item_text,correct,source,explanation
3,1,both,1,strategie_ricerca,Associa ciascuna strategia di ricerca alla sua proprietà principale.,A=completa e ottima con costi unitari|B=non completa in spazi infiniti|C=informata che usa f=g+h|D=combina vantaggi di BFS e DFS,Breadth-First Search,A,sisint1,In parole povere: BFS con costi unitari è ottima (trova soluzione minima per numero di azioni) e completa.
3,2,both,1,strategie_ricerca,Associa ciascuna strategia di ricerca alla sua proprietà principale.,A=completa e ottima con costi unitari|B=non completa in spazi infiniti|C=informata che usa f=g+h|D=combina vantaggi di BFS e DFS,Depth-First Search,B,sisint1,"In parole povere: DFS può perdersi su cammini infiniti, quindi NON COMPLETA in generale (lo è solo su spazi finiti)."
3,3,both,1,strategie_ricerca,Associa ciascuna strategia di ricerca alla sua proprietà principale.,A=completa e ottima con costi unitari|B=non completa in spazi infiniti|C=informata che usa f=g+h|D=combina vantaggi di BFS e DFS,A*,C,sisint1,In parole povere: A* usa f(n)=g(n)+h(n) — la funzione di valutazione informata classica.
3,4,both,1,strategie_ricerca,Associa ciascuna strategia di ricerca alla sua proprietà principale.,A=completa e ottima con costi unitari|B=non completa in spazi infiniti|C=informata che usa f=g+h|D=combina vantaggi di BFS e DFS,Iterative Deepening Search,D,sisint1,In parole povere: IDS combina memoria O(b·d) di DFS con completezza/ottimalità (per costi unitari) di BFS.
4,1,both,1,gioco_tipo,Classifica ciascun gioco rispetto alle sue caratteristiche.,"A=stocastico, informazione completa|B=deterministico, informazione completa|C=deterministico, informazione incompleta|D=stocastico, informazione incompleta",Scacchi,B,sisint1,"In parole povere: Scacchi: nessuna casualità, vedi tutta la scacchiera, quindi deterministico, informazione completa."
4,2,both,1,gioco_tipo,Classifica ciascun gioco rispetto alle sue caratteristiche.,"A=stocastico, informazione completa|B=deterministico, informazione completa|C=deterministico, informazione incompleta|D=stocastico, informazione incompleta",Backgammon,A,sisint1,"In parole povere: Backgammon: lancio dadi a ogni turno, quindi stocastico. Vedi tutto, quindi informazione completa."
4,3,both,1,gioco_tipo,Classifica ciascun gioco rispetto alle sue caratteristiche.,"A=stocastico, informazione completa|B=deterministico, informazione completa|C=deterministico, informazione incompleta|D=stocastico, informazione incompleta",Othello,B,sisint1,"In parole povere: Othello: senza randomness, scacchiera visibile, quindi deterministico, informazione completa."
4,4,both,1,gioco_tipo,Classifica ciascun gioco rispetto alle sue caratteristiche.,"A=stocastico, informazione completa|B=deterministico, informazione completa|C=deterministico, informazione incompleta|D=stocastico, informazione incompleta",Poker,D,sisint1,In parole povere: Poker: mescolata casuale (stocastico) e carte avversarie nascoste (informazione incompleta).
5,1,both,1,ambiente_classific,Classifica le proprietà di alcuni ambienti di agenti.,V=vero|F=falso,Gli scacchi sono completamente osservabili,V,sisint1,Si vede l'intera scacchiera.
5,2,both,1,ambiente_classific,Classifica le proprietà di alcuni ambienti di agenti.,V=vero|F=falso,Un classificatore di immagini opera in ambiente episodico,V,sisint1,Ogni immagine è un episodio a sé.
5,3,both,1,ambiente_classific,Classifica le proprietà di alcuni ambienti di agenti.,V=vero|F=falso,Guidare un taxi è un ambiente sequenziale e dinamico,V,sisint1,Le scelte contano nel tempo e il mondo cambia.
5,4,both,1,ambiente_classific,Classifica le proprietà di alcuni ambienti di agenti.,V=vero|F=falso,Il poker è completamente osservabile,F,sisint1,Le carte avversarie sono nascoste: parzialmente osservabile.
5,5,both,1,ambiente_classific,Classifica le proprietà di alcuni ambienti di agenti.,V=vero|F=falso,Il backgammon è un ambiente deterministico,F,sisint1,I dadi lo rendono stocastico.
5,6,both,1,ambiente_classific,Classifica le proprietà di alcuni ambienti di agenti.,V=vero|F=falso,Le parole crociate sono un ambiente multiagente,F,sisint1,Sono a singolo agente.
6,1,both,1,csp_struttura,Il problema delle N regine modellato come CSP.,V=vero|F=falso,Le variabili sono le N regine (una per colonna),V,sisint1,Modellazione efficiente.
6,2,both,1,csp_struttura,Il problema delle N regine modellato come CSP.,V=vero|F=falso,"Il dominio di ciascuna variabile è {1,...,N}",V,sisint1,La riga della regina in quella colonna.
6,3,both,1,csp_struttura,Il problema delle N regine modellato come CSP.,V=vero|F=falso,C'è un vincolo binario che vieta due regine sulla stessa riga o diagonale,V,sisint1,Vincoli ≠ su righe e diagonali.
6,4,both,1,csp_struttura,Il problema delle N regine modellato come CSP.,V=vero|F=falso,La soluzione è una sequenza di mosse,F,sisint1,In un CSP è un assegnamento di valori.
6,5,both,1,csp_struttura,Il problema delle N regine modellato come CSP.,V=vero|F=falso,È un problema di ricerca con avversario,F,sisint1,È un CSP a singolo agente.
6,6,both,1,csp_struttura,Il problema delle N regine modellato come CSP.,V=vero|F=falso,L'ordine con cui si assegnano le variabili cambia l'esistenza della soluzione,F,sisint1,I CSP sono commutativi.
7,1,both,3,ml_tipo,Associa ogni problema al tipo di apprendimento.,A=supervisionato|B=non supervisionato|C=auto-supervisionato,Classificare email come spam/non spam con esempi etichettati,A,sisint1,"In parole povere: Spam detection con esempi etichettati spam/non-spam, quindi supervisionato classico."
7,2,both,3,ml_tipo,Associa ogni problema al tipo di apprendimento.,A=supervisionato|B=non supervisionato|C=auto-supervisionato,Raggruppare clienti in segmenti senza etichette,B,integrato,"In parole povere: Segmentazione clienti senza etichette, quindi clustering è quando non supervisionato."
7,3,both,3,ml_tipo,Associa ogni problema al tipo di apprendimento.,A=supervisionato|B=non supervisionato|C=auto-supervisionato,Pre-addestrare un LLM predicendo la prossima parola di testo,C,integrato,"In parole povere: LLM pre-training: predici la prossima parola dal contesto. Le 'etichette' sono i token del testo stesso, quindi auto/self-supervised."
8,1,both,3,modello_classif,Sulla valutazione di un modello di classificazione.,V=vero|F=falso,L'accuratezza è il rapporto tra predizioni corrette e totali,V,sisint1,Diagonale / totale.
8,2,both,3,modello_classif,Sulla valutazione di un modello di classificazione.,V=vero|F=falso,La matrice di confusione ha sulle righe le classi reali e sulle colonne le predette,V,sisint1,Convenzione standard.
8,3,both,3,modello_classif,Sulla valutazione di un modello di classificazione.,V=vero|F=falso,L'error rate è 1 − accuratezza,V,sisint1,Complemento dell'accuratezza.
8,4,both,3,modello_classif,Sulla valutazione di un modello di classificazione.,V=vero|F=falso,Un'accuratezza del 95% sul training set garantisce buona generalizzazione,F,sisint1,Può essere overfitting.
8,5,both,3,modello_classif,Sulla valutazione di un modello di classificazione.,V=vero|F=falso,Precision e recall coincidono sempre con l'accuratezza,F,sisint1,"Sono misure diverse, utili con classi sbilanciate."
8,6,both,3,modello_classif,Sulla valutazione di un modello di classificazione.,V=vero|F=falso,La cross-validation usa lo stesso insieme per train e test senza separarli,F,sisint1,"Usa fold a rotazione, separati."
9,1,both,3,decision_tree,Sull'apprendimento di alberi di decisione (algoritmo di Hunt).,V=vero|F=falso,I nodi interni rappresentano test su attributi,V,sisint1,Ogni interno testa un attributo.
9,2,both,3,decision_tree,Sull'apprendimento di alberi di decisione (algoritmo di Hunt).,V=vero|F=falso,Le foglie rappresentano classi,V,sisint1,La classe predetta.
9,3,both,3,decision_tree,Sull'apprendimento di alberi di decisione (algoritmo di Hunt).,V=vero|F=falso,L'entropia di un nodo puro (istanze tutte della stessa classe) è 0,V,sisint1,Nessuna incertezza.
9,4,both,3,decision_tree,Sull'apprendimento di alberi di decisione (algoritmo di Hunt).,V=vero|F=falso,Si preferisce sempre l'attributo con il minor information gain,F,sisint1,Si sceglie il MAGGIOR information gain.
9,5,both,3,decision_tree,Sull'apprendimento di alberi di decisione (algoritmo di Hunt).,V=vero|F=falso,Un albero di decisione traccia confini di decisione obliqui,F,sisint1,Sono assiali (paralleli agli assi).
9,6,both,3,decision_tree,Sull'apprendimento di alberi di decisione (algoritmo di Hunt).,V=vero|F=falso,L'algoritmo di Hunt costruisce l'albero bottom-up dalle foglie,F,sisint1,È top-down dalla radice.
10,1,both,3,nn_facts,Su reti neurali e perceptron.,V=vero|F=falso,Un MLP con un hidden layer e attivazioni non lineari è un approssimatore universale,V,sisint1,Con neuroni sufficienti.
10,2,both,3,nn_facts,Su reti neurali e perceptron.,V=vero|F=falso,La backpropagation aggiorna i pesi nella direzione opposta al gradiente dell'errore,V,sisint1,Discesa del gradiente.
10,3,both,3,nn_facts,Su reti neurali e perceptron.,V=vero|F=falso,Un learning rate troppo alto può far divergere l'apprendimento,V,sisint1,Passi troppo grandi.
10,4,both,3,nn_facts,Su reti neurali e perceptron.,V=vero|F=falso,Un perceptron lineare singolo può rappresentare la funzione XOR,F,sisint1,Lo XOR non è linearmente separabile.
10,5,both,3,nn_facts,Su reti neurali e perceptron.,V=vero|F=falso,La sigmoide ha derivata sempre nulla,F,sisint1,È derivabile e non nulla (serve alla backprop).
10,6,both,3,nn_facts,Su reti neurali e perceptron.,V=vero|F=falso,La conoscenza di una rete neurale è memorizzata nella funzione di attivazione,F,sisint1,È nei pesi.
11,1,9,1,expectiminimax_tree,Sull'algoritmo expectiminimax.,V=vero|F=falso,"L'albero ha 4 tipi di nodi: MAX, MIN, terminali, casuali",V,sisint1,Aggiunge i nodi di caso.
11,2,9,1,expectiminimax_tree,Sull'algoritmo expectiminimax.,V=vero|F=falso,I nodi casuali calcolano una media pesata sulle probabilità dei figli,V,sisint1,Valore atteso.
11,3,9,1,expectiminimax_tree,Sull'algoritmo expectiminimax.,V=vero|F=falso,Quando il gioco è deterministico expectiminimax coincide con minimax,V,sisint1,I nodi di caso collassano.
11,4,9,1,expectiminimax_tree,Sull'algoritmo expectiminimax.,V=vero|F=falso,La complessità è O(b^m) come minimax,F,sisint1,"È O(b^m · n^m), peggiore."
11,5,9,1,expectiminimax_tree,Sull'algoritmo expectiminimax.,V=vero|F=falso,La potatura alfa-beta si applica facilmente ai nodi casuali,F,sisint1,Le medie impediscono i bound.
11,6,9,1,expectiminimax_tree,Sull'algoritmo expectiminimax.,V=vero|F=falso,I nodi MIN scelgono il figlio di valore massimo,F,sisint1,MIN sceglie il minimo.
12,1,both,2,planning_facts,Su situation calculus e planning.,V=vero|F=falso,Un fluente è una proprietà/relazione che può cambiare con le azioni,V,sisint1,Dipende dalla situazione.
12,2,both,2,planning_facts,Su situation calculus e planning.,V=vero|F=falso,L'assioma di frame esprime ciò che NON cambia dopo un'azione,V,sisint1,La persistenza.
12,3,both,2,planning_facts,Su situation calculus e planning.,V=vero|F=falso,PDDL è un linguaggio per esprimere problemi di planning,V,sisint1,Separa dominio e problema.
12,4,both,2,planning_facts,Su situation calculus e planning.,V=vero|F=falso,L'anomalia di Sussman mostra che i sottogoal sono sempre indipendenti,F,sisint1,Mostra il contrario: interagiscono.
12,5,both,2,planning_facts,Su situation calculus e planning.,V=vero|F=falso,Gli assiomi di effetto da soli risolvono il frame problem,F,sisint1,Non dicono cosa resta invariato.
12,6,both,2,planning_facts,Su situation calculus e planning.,V=vero|F=falso,Nel planning classico gli stati sono immagini bitmap,F,sisint1,Sono congiunzioni di atomi ground.
13,1,9,2,ontologia_partition,Data una categoria C e un insieme S di sue sottocategorie.,V=vero|F=falso,"Se le categorie in S sono disgiunte, allora Disjoint(S) vale",V,sisint1,Nessuna istanza in comune.
13,2,9,2,ontologia_partition,Data una categoria C e un insieme S di sue sottocategorie.,V=vero|F=falso,Una partizione di C è una decomposizione esaustiva con sottocategorie disgiunte,V,sisint1,Esaustiva + disgiunta.
13,3,9,2,ontologia_partition,Data una categoria C e un insieme S di sue sottocategorie.,V=vero|F=falso,"ExhaustiveDec(S,C) richiede che S copra tutte le istanze di C",V,sisint1,Copertura completa.
13,4,9,2,ontologia_partition,Data una categoria C e un insieme S di sue sottocategorie.,V=vero|F=falso,"Disjoint(S) implica ExhaustiveDec(S,C)",F,sisint1,Disgiunte non vuol dire esaustive.
13,5,9,2,ontologia_partition,Data una categoria C e un insieme S di sue sottocategorie.,V=vero|F=falso,Ogni decomposizione esaustiva è anche una partizione,F,sisint1,Serve anche la disgiunzione.
13,6,9,2,ontologia_partition,Data una categoria C e un insieme S di sue sottocategorie.,V=vero|F=falso,Is-a e Member esprimono la stessa relazione,F,sisint1,Is-a lega classi; Member lega istanza-classe.
14,1,both,2,is_a_member,Distingui tra IS-A e MEMBER nei seguenti esempi.,A=Is-a (sottoclasse)|B=Member (istanza),Pongo è un Dalmata: Pongo - Dalmata,B,ontologie,"In parole povere: Pongo è un individuo specifico, Dalmata è la categoria, quindi Pongo è ISTANZA di Dalmata, quindi Member."
14,2,both,2,is_a_member,Distingui tra IS-A e MEMBER nei seguenti esempi.,A=Is-a (sottoclasse)|B=Member (istanza),Dalmata è un tipo di Cane: Dalmata - Cane,A,ontologie,"In parole povere: Dalmata e Cane sono entrambe CATEGORIE; Dalmata sottoclasse di Cane, quindi Is-a."
14,3,both,2,is_a_member,Distingui tra IS-A e MEMBER nei seguenti esempi.,A=Is-a (sottoclasse)|B=Member (istanza),Tom è un Bassotto: Tom - Bassotto,B,ontologie,"In parole povere: Tom è quando istanza, Bassotto è quando categoria, quindi Member."
14,4,both,2,is_a_member,Distingui tra IS-A e MEMBER nei seguenti esempi.,A=Is-a (sottoclasse)|B=Member (istanza),Bassotto è un tipo di Cane: Bassotto - Cane,A,ontologie,"In parole povere: Bassotto e Cane è quando categorie; Bassotto sottoclasse di Cane, quindi Is-a."
15,1,both,1,heur_property,"Per le seguenti euristiche sull'8-puzzle, indica la proprietà corretta.",A=ammissibile e domina|B=ammissibile non dominante|C=non ammissibile,Distanza di Manhattan,A,aima_ch3,"In parole povere: Manhattan domina 'tessere fuori posto': è sempre ≥ (perché conta passi reali, non solo presenza fuori posto). Ammissibile."
15,2,both,1,heur_property,"Per le seguenti euristiche sull'8-puzzle, indica la proprietà corretta.",A=ammissibile e domina|B=ammissibile non dominante|C=non ammissibile,Numero di tessere fuori posto,B,aima_ch3,In parole povere: Tessere fuori posto è ammissibile (sottostima sempre) ma NON DOMINA Manhattan (è meno informativa). Ammissibile non dominante.
15,3,both,1,heur_property,"Per le seguenti euristiche sull'8-puzzle, indica la proprietà corretta.",A=ammissibile e domina|B=ammissibile non dominante|C=non ammissibile,Costo medio osservato moltiplicato per 10,C,aima_ch3,"In parole povere: Costo medio × 10: nessuna garanzia di sottostima, può sovrastimare, quindi NON ammissibile."
16,1,both,2,fol_quant_use,"Riconosci se ogni formula è valida (V), soddisfacibile non valida (S) o insoddisfacibile (I).",V=valida|S=soddisfacibile non valida|I=insoddisfacibile,forall x (P(x) or not P(x)),V,sisint1,"In parole povere: ∀x (P(x)∨¬P(x)) è il terzo escluso quantificato, quindi vera in ogni modello, quindi VALIDA."
16,2,both,2,fol_quant_use,"Riconosci se ogni formula è valida (V), soddisfacibile non valida (S) o insoddisfacibile (I).",V=valida|S=soddisfacibile non valida|I=insoddisfacibile,exists x (P(x) and not P(x)),I,sisint1,"In parole povere: ∃x (P(x)∧¬P(x)) afferma esista qualcosa che sia P e non-P, quindi contraddizione, quindi INSODDISFACIBILE."
16,3,both,2,fol_quant_use,"Riconosci se ogni formula è valida (V), soddisfacibile non valida (S) o insoddisfacibile (I).",V=valida|S=soddisfacibile non valida|I=insoddisfacibile,"forall x exists y Ama(x,y)",S,sisint1,"In parole povere: ∀x ∃y Ama(x,y) può essere vera in alcuni mondi (chi ama qualcuno) e falsa in altri (mondo senza amore), quindi soddisfacibile non valida."
17,1,both,1,csp_techniques,Associa ciascuna tecnica CSP alla sua descrizione.,A=elimina valori incompatibili dai domini guardando un solo vincolo|B=verifica consistenza a coppie tra archi (AC-3)|C=torna al nodo più recente responsabile del fallimento|D=assegna una variabile alla volta e torna al primo conflitto,Backtracking standard,D,sisint1,"In parole povere: Backtracking standard: assegna una variabile alla volta, torna indietro al primo conflitto."
17,2,both,1,csp_techniques,Associa ciascuna tecnica CSP alla sua descrizione.,A=elimina valori incompatibili dai domini guardando un solo vincolo|B=verifica consistenza a coppie tra archi (AC-3)|C=torna al nodo più recente responsabile del fallimento|D=assegna una variabile alla volta e torna al primo conflitto,Forward checking,A,sisint1,"In parole povere: Forward checking: dopo un assegnamento, controlla un vincolo alla volta ed elimina valori incompatibili dai domini futuri (consistenza locale rispetto al vincolo)."
17,3,both,1,csp_techniques,Associa ciascuna tecnica CSP alla sua descrizione.,A=elimina valori incompatibili dai domini guardando un solo vincolo|B=verifica consistenza a coppie tra archi (AC-3)|C=torna al nodo più recente responsabile del fallimento|D=assegna una variabile alla volta e torna al primo conflitto,Arc consistency (AC-3),B,sisint1,"In parole povere: AC-3: verifica consistenza tra coppie di variabili (archi). Più potente di forward checking, propaga le restrizioni a coppie."
17,4,both,1,csp_techniques,Associa ciascuna tecnica CSP alla sua descrizione.,A=elimina valori incompatibili dai domini guardando un solo vincolo|B=verifica consistenza a coppie tra archi (AC-3)|C=torna al nodo più recente responsabile del fallimento|D=assegna una variabile alla volta e torna al primo conflitto,Backjumping,C,sisint1,"In parole povere: Backjumping: dal fallimento risale al nodo più recente CAUSA del conflitto (conflict-directed), saltando intermedi irrilevanti."
18,1,both,2,horn_cnf,Per ciascuna clausola indica se è di Horn (H) o no (N).,H=di Horn|N=non di Horn,not A or not B or C,H,sisint1,"In parole povere: ¬A∨¬B∨C: un solo letterale positivo (C), quindi HORN. Equivalente alla regola A∧B→C."
18,2,both,2,horn_cnf,Per ciascuna clausola indica se è di Horn (H) o no (N).,H=di Horn|N=non di Horn,A or B or not C,N,sisint1,"In parole povere: A∨B∨¬C: due letterali positivi (A,B), quindi NON Horn."
18,3,both,2,horn_cnf,Per ciascuna clausola indica se è di Horn (H) o no (N).,H=di Horn|N=non di Horn,not A,H,sisint1,"In parole povere: ¬A: zero letterali positivi, quindi HORN (caso 'no head', vincolo di non)."
18,4,both,2,horn_cnf,Per ciascuna clausola indica se è di Horn (H) o no (N).,H=di Horn|N=non di Horn,P (un solo letterale positivo),H,sisint1,"In parole povere: P (singolo positivo): UN letterale positivo, zero negativi, quindi HORN (fact)."
18,5,both,2,horn_cnf,Per ciascuna clausola indica se è di Horn (H) o no (N).,H=di Horn|N=non di Horn,A or B,N,sisint1,"In parole povere: A∨B: due letterali positivi, quindi NON Horn."
20,1,9,2,bayes_facts,Su probabilità e reti bayesiane.,V=vero|F=falso,La congiunta di n variabili booleane ha 2^n − 1 parametri indipendenti,V,sisint1,Somma vincolata a 1.
20,2,9,2,bayes_facts,Su probabilità e reti bayesiane.,V=vero|F=falso,"Due variabili indipendenti soddisfano P(X,Y)=P(X)P(Y)",V,sisint1,Fattorizzazione.
20,3,9,2,bayes_facts,Su probabilità e reti bayesiane.,V=vero|F=falso,Una rete bayesiana sfrutta l'indipendenza condizionata per ridurre i parametri,V,sisint1,Solo le CPT locali.
20,4,9,2,bayes_facts,Su probabilità e reti bayesiane.,V=vero|F=falso,Il teorema di Bayes: P(H|E)=P(E|H)P(E)/P(H),F,sisint1,Corretto: P(E|H)P(H)/P(E).
20,5,9,2,bayes_facts,Su probabilità e reti bayesiane.,V=vero|F=falso,In una rete bayesiana gli archi possono formare cicli,F,sisint1,È un DAG (aciclico).
20,6,9,2,bayes_facts,Su probabilità e reti bayesiane.,V=vero|F=falso,"P(a∨b)=P(a)+P(b) vale sempre, anche per eventi non esclusivi",F,sisint1,Solo se mutuamente esclusivi.
21,1,both,1,minimax_facts,Su minimax e potatura alfa-beta.,V=vero|F=falso,Minimax assume che entrambi i giocatori giochino in modo ottimo,V,sisint1,Avversario perfetto.
21,2,both,1,minimax_facts,Su minimax e potatura alfa-beta.,V=vero|F=falso,"Con ordinamento ottimo, alfa-beta ha complessità O(b^(m/2))",V,sisint1,Raddoppia la profondità.
21,3,both,1,minimax_facts,Su minimax e potatura alfa-beta.,V=vero|F=falso,Alfa-beta e minimax restituiscono la stessa mossa alla radice,V,sisint1,Alfa-beta è esatto.
21,4,both,1,minimax_facts,Su minimax e potatura alfa-beta.,V=vero|F=falso,La potatura alfa-beta cambia la mossa ottima scelta da minimax,F,sisint1,"Non la cambia, solo pota rami."
21,5,both,1,minimax_facts,Su minimax e potatura alfa-beta.,V=vero|F=falso,Alfa-beta funziona su giochi a 3 giocatori senza modifiche,F,sisint1,Serve max^n / adattamenti.
21,6,both,1,minimax_facts,Su minimax e potatura alfa-beta.,V=vero|F=falso,Nel minimax i nodi MAX scelgono il figlio di valore minimo,F,sisint1,MAX sceglie il massimo.
22,1,9,3,gen_ai_match,Associa ogni architettura generativa al meccanismo principale.,A=self-attention multi-head|B=competizione generatore vs discriminatore|C=processo di denoising progressivo|D=reti convolutive su immagini,Transformer / LLM,A,integrato,In parole povere: Transformer/LLM: meccanismo principale è SELF-ATTENTION (multi-head). Calcola pesi di rilevanza tra tutti i token della sequenza.
22,2,9,3,gen_ai_match,Associa ogni architettura generativa al meccanismo principale.,A=self-attention multi-head|B=competizione generatore vs discriminatore|C=processo di denoising progressivo|D=reti convolutive su immagini,GAN,B,integrato,"In parole povere: GAN: generatore vs discriminatore in gioco MINIMAX (zero-sum). G inganna, D distingue."
22,3,9,3,gen_ai_match,Associa ogni architettura generativa al meccanismo principale.,A=self-attention multi-head|B=competizione generatore vs discriminatore|C=processo di denoising progressivo|D=reti convolutive su immagini,Modello di diffusione,C,integrato,In parole povere: Diffusion: processo iterativo di DENOISING. Si apprende a invertire l'aggiunta progressiva di rumore.
22,4,9,3,gen_ai_match,Associa ogni architettura generativa al meccanismo principale.,A=self-attention multi-head|B=competizione generatore vs discriminatore|C=processo di denoising progressivo|D=reti convolutive su immagini,CNN classica,D,integrato,"In parole povere: CNN: convoluzioni 2D con filtri condivisi, pensate per immagini sfruttando località e invarianza traslazionale."
23,1,both,2,refutation_steps,Per dimostrare KB ⊨ α tramite risoluzione per refutazione.,V=vero|F=falso,Si converte tutta la KB in CNF,V,sisint1,Forma a clausole.
23,2,both,2,refutation_steps,Per dimostrare KB ⊨ α tramite risoluzione per refutazione.,V=vero|F=falso,Si aggiunge il goal NEGATO alla KB,V,sisint1,Si nega la tesi.
23,3,both,2,refutation_steps,Per dimostrare KB ⊨ α tramite risoluzione per refutazione.,V=vero|F=falso,Si cerca di derivare la clausola vuota tramite risoluzione,V,sisint1,Segnale di contraddizione.
23,4,both,2,refutation_steps,Per dimostrare KB ⊨ α tramite risoluzione per refutazione.,V=vero|F=falso,"Se si deriva la clausola vuota, la KB originale era già contraddittoria",F,sisint1,"Contraddittoria è KB ∧ ¬α, non la KB."
23,5,both,2,refutation_steps,Per dimostrare KB ⊨ α tramite risoluzione per refutazione.,V=vero|F=falso,La risoluzione richiede formule in forma DNF,F,sisint1,Richiede la CNF.
23,6,both,2,refutation_steps,Per dimostrare KB ⊨ α tramite risoluzione per refutazione.,V=vero|F=falso,Non serve negare il goal: basta aggiungerlo così com'è,F,sisint1,La refutazione richiede il goal negato.
24,1,both,2,agenti_tipo,Associa ogni agente al tipo principale.,A=reattivo semplice|B=basato su modello|C=goal-driven|D=utility-driven,Termostato che accende riscaldamento se T<20,A,sisint1,"In parole povere: Termostato: percepisce T<20, quindi accende. Regola IF-THEN. Reattivo semplice."
24,2,both,2,agenti_tipo,Associa ogni agente al tipo principale.,A=reattivo semplice|B=basato su modello|C=goal-driven|D=utility-driven,Auto autonoma che mantiene mappa interna dello stato del mondo,B,sisint1,"In parole povere: Auto autonoma mantiene mappa interna (SLAM), quindi STATO interno, quindi basato su modello."
24,3,both,2,agenti_tipo,Associa ogni agente al tipo principale.,A=reattivo semplice|B=basato su modello|C=goal-driven|D=utility-driven,Pianificatore che esegue azioni per raggiungere un obiettivo,C,sisint1,"In parole povere: Pianificatore: ha goal esplicito, costruisce sequenza per raggiungerlo, quindi goal-driven."
24,4,both,2,agenti_tipo,Associa ogni agente al tipo principale.,A=reattivo semplice|B=basato su modello|C=goal-driven|D=utility-driven,Agente che massimizza il profitto atteso,D,sisint1,"In parole povere: Massimizza profitto è quando funzione di utilità, quindi utility-driven (più sofisticato di puramente goal-driven)."
25,1,both,3,overfitting_facts,Su overfitting e generalizzazione.,V=vero|F=falso,L'overfitting si manifesta con basso errore di training e alto errore di test,V,sisint1,Memorizza il rumore.
25,2,both,3,overfitting_facts,Su overfitting e generalizzazione.,V=vero|F=falso,Il prepruning previene l'overfitting interrompendo l'espansione dell'albero,V,sisint1,Early stopping.
